#				
#   VizieR Astronomical Server vizier.u-strasbg.fr				
#    Date: 2021-04-23T06:47:17 [V1.99+ (14-Oct-2013)]				
#   In case of problem, please report to:	cds-question@unistra.fr			
#				
#				
#Coosys	J2000:	eq_FK5 J2000		
#INFO	votable-version=1.99+ (14-Oct-2013)			
#INFO	-ref=VIZ60826c0f15d4da			
#INFO	-out.max=9999			
#INFO	queryParameters=9			
#-oc.form=dec				
#-out.max=9999				
#-nav=cat:J/AJ/159/60&tab:{J/AJ/159/60/table1}&key:source=J/AJ/159/60/table1&HTTPPRM:&				
#-source=J/AJ/159/60/table1				
#-order=I				
#-out=TIC				
#-out=Sec				
#-out=Outbst				
#-out=Flare				
#				
				
#RESOURCE=yCat_51590060				
#Name: J/AJ/159/60				
#Title: 8695 flares from 1228 stars in TESS sectors 1 & 2 (Gunther+, 2020)				
#Table	J_AJ_159_60_table1:			
#Name: J/AJ/159/60/table1				
#Title: Catalog of all individual flares found in the Transiting Exoplanet Survey Satellite (TESS) sectors 1 and 2				
#Column	TIC	(I9)	[2760232/471015484] TESS input catalog identifier	[ucd=meta.id;meta.main]
#Column	Sec	(I1)	[1/2] TESS sector	[ucd=meta.id;obs]
#Column	Outbst	(I2)	[1/58] Outburst number	[ucd=meta.id]
#Column	Flare	(I1)	[1/5] Flare number	[ucd=meta.id]
TIC	Sec	Outbst	Flare	
2760232	2	1	1	
2760232	2	2	1	
2760232	2	3	1	
2760232	2	3	2	
2760232	2	3	3	
2760232	2	3	4	
2760232	2	5	1	
2760232	2	7	1	
2760232	2	7	2	
2760232	2	7	3	
2760232	2	7	4	
2760232	2	8	1	
2760232	2	9	1	
2760232	2	9	2	
2760232	2	10	1	
2760232	2	11	1	
2760232	2	12	1	
2760232	2	13	1	
2761472	2	1	1	
2761472	2	2	1	
2761472	2	3	1	
2761472	2	3	2	
2761472	2	4	1	
2761472	2	4	2	
2761472	2	5	1	
2761472	2	5	2	
2761472	2	6	1	
2761472	2	7	1	
2761472	2	8	1	
2761472	2	9	1	
2761472	2	10	1	
2761472	2	10	2	
2761472	2	10	3	
2761472	2	11	1	
2761472	2	12	1	
2761472	2	13	1	
2761472	2	13	2	
2761472	2	14	1	
2761472	2	16	1	
2761472	2	18	1	
5640393	2	1	1	
5640393	2	2	1	
5640393	2	3	1	
5640393	2	4	1	
5640393	2	5	1	
5640393	2	5	2	
5640393	2	6	1	
5640393	2	6	2	
5640393	2	6	3	
5640393	2	7	1	
5640393	2	8	1	
5640393	2	10	1	
5640393	2	11	1	
5640393	2	12	1	
5640393	2	12	2	
5640393	2	14	1	
5640393	2	15	1	
5640393	2	16	1	
5640393	2	18	1	
5640393	2	19	1	
5640393	2	20	1	
5640393	2	21	1	
5656273	2	1	1	
5656273	2	2	1	
5656273	2	2	2	
5656273	2	4	1	
5656273	2	5	1	
5656273	2	6	1	
5656273	2	6	2	
5656273	2	7	1	
5656273	2	8	1	
5656273	2	9	1	
5656273	2	9	2	
5656273	2	10	1	
5656273	2	11	1	
5656273	2	12	1	
5656273	2	13	1	
5656273	2	14	1	
5656273	2	15	1	
5656273	2	16	1	
5656273	2	17	1	
5656273	2	17	2	
5656273	2	18	1	
5656273	2	19	1	
